unit_sales,bc_unit_sales,population,bc_population,country,the_month
105.0000,395.0000,328000000,328000000,USA,1997-01
116.0000,366.0000,328000000,328000000,USA,1997-02
134.0000,451.0000,328000000,328000000,USA,1997-03
116.0000,448.0000,328000000,328000000,USA,1997-04
156.0000,385.0000,328000000,328000000,USA,1997-05
145.0000,449.0000,328000000,328000000,USA,1997-06
165.0000,459.0000,328000000,328000000,USA,1997-07
117.0000,403.0000,328000000,328000000,USA,1997-08
147.0000,405.0000,328000000,328000000,USA,1997-09
129.0000,429.0000,328000000,328000000,USA,1997-10
183.0000,454.0000,328000000,328000000,USA,1997-11
170.0000,511.0000,328000000,328000000,USA,1997-12
